coord_0,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,coord_8,coord_9,coord_10,coord_11,coord_12,coord_13,coord_14,coord_15,coord_16,coord_17,coord_18,coord_19,coord_20,coord_21,coord_22,coord_23,coord_24,coord_25,coord_26,coord_27,coord_28,coord_29,coord_30,coord_31,coord_32,coord_33,coord_34,coord_35,coord_36,coord_37,coord_38,coord_39,coord_40,coord_41,coord_42,coord_43,coord_44,coord_45,coord_46,coord_47,coord_48,coord_49,coord_50,coord_51,coord_52,coord_53,coord_54,coord_55,coord_56,coord_57,coord_58,coord_59,coord_60,coord_61,coord_62,label
0.0,0.0,0.0,0.095200755,-0.031224895,-0.13863778,0.20767,-0.12097903,-0.26803103,0.36650717,-0.14811252,-0.37844348,0.5337722,-0.13250408,-0.47720873,0.07083669,-0.5047024,-0.2790685,0.44015947,-0.42426518,-0.40830943,0.63100034,-0.2995845,-0.4767808,0.7724381,-0.20222388,-0.52114624,0.0715725,-0.59486854,-0.26841664,0.51325035,-0.52449507,-0.39995652,0.7138882,-0.37783435,-0.43305472,0.85405046,-0.2573593,-0.4482086,0.114233315,-0.61081105,-0.26354745,0.54506063,-0.55156004,-0.3842324,0.7390519,-0.40168163,-0.40411097,0.8706514,-0.28039405,-0.4041601,0.19108434,-0.5631038,-0.2679997,0.53652835,-0.4997402,-0.3561561,0.70846826,-0.38340628,-0.37556088,0.830969,-0.29717538,-0.37752628,0
0.0,0.0,0.0,0.16955556,-0.1386177,-0.01706402,0.33755302,-0.2657445,-0.090110846,0.5471123,-0.27991515,-0.1798255,0.7261901,-0.23861624,-0.2698784,0.17806514,-0.60165596,-0.09845742,0.54879403,-0.5573532,-0.21287958,0.73965037,-0.44252688,-0.28624648,0.86555576,-0.35467613,-0.3323092,0.13099514,-0.59321016,-0.157569,0.5606828,-0.5523361,-0.27501613,0.7600115,-0.4187456,-0.3176384,0.89010185,-0.30770302,-0.33621058,0.11489788,-0.5185162,-0.22114113,0.5375078,-0.49405062,-0.33091876,0.7428597,-0.37718844,-0.3525937,0.87848926,-0.2800903,-0.34865806,0.13816035,-0.39913884,-0.2863345,0.47491744,-0.3765205,-0.35860205,0.6501588,-0.29829207,-0.36462417,0.7735144,-0.23043722,-0.35594118,0
0.0,0.0,0.0,0.053684216,0.05037522,-0.2270311,0.15378588,0.012341323,-0.40472028,0.341361,-0.02486073,-0.54225874,0.52365446,-0.060515337,-0.66996604,-0.051090248,-0.27282423,-0.44573706,0.2745665,-0.24166949,-0.62939435,0.4882468,-0.14203897,-0.71615934,0.6318855,-0.059963442,-0.76660657,-0.02222224,-0.42630076,-0.40160584,0.3503153,-0.42467082,-0.589133,0.5771928,-0.3008546,-0.64091045,0.7209395,-0.19458497,-0.66511875,0.04738163,-0.511107,-0.36433187,0.39574838,-0.52708757,-0.5380986,0.60885906,-0.39621598,-0.5651076,0.74505246,-0.28840598,-0.56317604,0.14411695,-0.5369207,-0.34038702,0.4226649,-0.5269048,-0.4734081,0.59472007,-0.42159432,-0.5042235,0.7130184,-0.33686164,-0.5107893,0
0.0,0.0,0.0,0.11845237,0.055699963,-0.14916813,0.3073107,0.05192175,-0.31777468,0.4886383,0.0043104477,-0.4687797,0.655268,-0.007496648,-0.63582706,0.09596125,-0.078961454,-0.4226035,0.27481332,-0.05559588,-0.6208972,0.33315545,0.020982185,-0.76905674,0.34673995,0.1044247,-0.8680967,0.106704004,-0.19103886,-0.44305444,0.40576947,-0.2081943,-0.6324052,0.5730453,-0.12179332,-0.7161384,0.6292126,-0.04620062,-0.7758589,0.17299747,-0.2524066,-0.45845586,0.5141654,-0.21152873,-0.6295578,0.68125784,-0.11939997,-0.6411848,0.7354717,-0.050382596,-0.63629425,0.2682975,-0.2527122,-0.48336774,0.5650746,-0.2138864,-0.6069058,0.6743451,-0.14759912,-0.59619737,0.70347905,-0.09536622,-0.5793989,0
0.0,0.0,0.0,0.19426192,-0.16649365,0.069427416,0.31732285,-0.31895825,0.05456597,0.43314978,-0.39263082,0.006080432,0.53738207,-0.42950404,-0.04918514,0.13689275,-0.7500555,0.04824621,0.5501549,-0.6646745,-0.019832022,0.75332355,-0.53756124,-0.07380998,0.87266564,-0.4354564,-0.10516798,0.11041019,-0.76937705,-0.040291525,0.56650895,-0.71491426,-0.08186443,0.77515346,-0.56196916,-0.09393322,0.904207,-0.41670296,-0.09364001,0.13522235,-0.71183383,-0.12960586,0.5545249,-0.6692976,-0.19941741,0.7605833,-0.50825983,-0.19429597,0.8798042,-0.36840972,-0.16933666,0.18504892,-0.5970137,-0.21646789,0.5275205,-0.490254,-0.2686358,0.6846136,-0.37745586,-0.25760967,0.7795658,-0.27974474,-0.23024653,0
0.0,0.0,0.0,0.22762856,-0.24824952,0.110128194,0.27187508,-0.45694646,0.11482373,0.3499775,-0.6028346,0.07087179,0.4226472,-0.7169658,0.030463051,-0.17633751,-0.60192806,0.09720588,0.0037777284,-0.9207662,0.0011038703,0.22860655,-0.9427421,-0.07691453,0.38716274,-0.87833244,-0.11306295,-0.20771109,-0.5697485,-0.015161552,0.013501385,-0.9531259,-0.105562076,0.2758018,-0.94833684,-0.15681396,0.42043784,-0.85683095,-0.17161536,-0.15562283,-0.53176755,-0.12770037,0.04185366,-0.91209507,-0.19191584,0.29384834,-0.89677715,-0.17767921,0.41636854,-0.8017145,-0.14952038,-0.0295462,-0.4865237,-0.2360073,0.134903,-0.7787562,-0.2725905,0.3110554,-0.79690486,-0.23983772,0.41145852,-0.7435483,-0.20210089,0
0.0,0.0,0.0,0.2270575,-0.2481371,0.1102829,0.28790691,-0.46397862,0.12025448,0.370728,-0.6051901,0.08213016,0.42155045,-0.7133641,0.04632205,-0.1542185,-0.6070236,0.09971622,0.017848771,-0.9111035,0.00545782,0.24226812,-0.92977494,-0.073907465,0.40810347,-0.8720907,-0.11443441,-0.20180753,-0.576308,-0.015842644,0.016401947,-0.95136565,-0.119013965,0.29134208,-0.93871546,-0.18420957,0.44875497,-0.8394545,-0.20658816,-0.17007963,-0.53928053,-0.13101926,0.02879761,-0.915592,-0.21027926,0.29843304,-0.8999718,-0.21691592,0.4385672,-0.80315894,-0.1997413,-0.066260725,-0.49423438,-0.2405992,0.09868384,-0.7797007,-0.28897533,0.28618884,-0.7914689,-0.27065292,0.40188843,-0.7320364,-0.24295811,0
0.0,0.0,0.0,0.2432201,-0.2384659,0.11854444,0.30608308,-0.44513276,0.12982315,0.39493755,-0.5855248,0.090559565,0.4746343,-0.69781417,0.053240098,-0.1396813,-0.61601275,0.10818861,0.06498463,-0.91779053,0.011684467,0.29077005,-0.9177387,-0.070728414,0.44631144,-0.8420498,-0.110933125,-0.17354992,-0.5866301,-0.009658971,0.07847302,-0.95542204,-0.10304703,0.34129685,-0.9260197,-0.16125704,0.48509836,-0.81961656,-0.18109842,-0.12150654,-0.5455044,-0.12718157,0.10544002,-0.9280399,-0.19698128,0.35754967,-0.88758445,-0.19130701,0.47913778,-0.7820672,-0.1678729,0.0024781341,-0.49440482,-0.23892382,0.18935573,-0.7867348,-0.27858064,0.3651065,-0.78709567,-0.24942231,0.4643886,-0.7240859,-0.21490194,0
0.0,0.0,0.0,0.25609353,-0.21629122,0.12405496,0.3375476,-0.41417396,0.13468908,0.4377926,-0.54258126,0.09404241,0.5217233,-0.64726126,0.055939835,-0.08709261,-0.6291759,0.09742959,0.14580682,-0.91574633,0.0057941945,0.3729025,-0.88824415,-0.06554568,0.51623,-0.7946736,-0.09758092,-0.12676203,-0.6046394,-0.022692773,0.15979101,-0.95323735,-0.11029935,0.42751557,-0.89054406,-0.15544058,0.55729485,-0.7646452,-0.16536748,-0.07735896,-0.5610632,-0.14125691,0.19216608,-0.9220368,-0.20737088,0.45286006,-0.8534404,-0.19404791,0.5619616,-0.7281533,-0.1643714,0.041623093,-0.50256366,-0.25353777,0.26330423,-0.7721203,-0.28894898,0.447542,-0.7504595,-0.25637168,0.5408917,-0.6663656,-0.219099,0
0.0,0.0,0.0,0.22966252,-0.24854419,0.11535944,0.2812383,-0.46543828,0.12921824,0.36019927,-0.6142821,0.09325979,0.41235417,-0.7332244,0.059849173,-0.1777301,-0.6057114,0.122360766,0.0023873507,-0.9148117,0.035043772,0.23135078,-0.94014335,-0.04515956,0.39658085,-0.885854,-0.08679876,-0.21622187,-0.5787793,0.007510593,0.004521083,-0.9543779,-0.083153255,0.27664953,-0.9498464,-0.14579745,0.43244877,-0.85879844,-0.17049883,-0.17704225,-0.54713523,-0.107707195,0.020911468,-0.9320077,-0.1744491,0.28175384,-0.919277,-0.17568946,0.41812477,-0.8254961,-0.15953237,-0.06305458,-0.5073675,-0.21796848,0.099842384,-0.8060165,-0.25962296,0.28136185,-0.8245452,-0.2377507,0.39368758,-0.77002233,-0.2095916,0
